,gender,owns_car,owns_realty,num_children,total_income,income_type,education_level,family_status,housing_type,has_work_phone,has_phone,has_email,occupation,family_size,age,months_employed,Months_sub,status
0,1,1,1,0,6.007458699118018,2,3,3,0,1,0,0,17,2,32,8.421502901504702,15,1
1,1,1,1,0,6.007458699118018,2,3,3,0,1,0,0,17,2,32,8.421502901504702,14,1
2,1,1,1,0,5.765550191886271,2,2,4,5,0,0,0,9,2,58,5.286791479911123,29,1
3,0,0,1,0,5.929203875533594,4,2,2,5,0,1,1,10,1,52,7.431940223072623,4,1
4,0,0,1,0,5.929203875533594,4,2,2,5,0,1,1,10,1,52,7.431940223072623,26,1
5,0,0,1,0,5.929203875533594,4,2,2,5,0,1,1,10,1,52,7.431940223072623,38,1
6,1,1,1,0,5.929203875533594,2,3,4,5,1,1,1,11,2,46,4.558386264473673,5,1
7,1,1,1,0,5.929203875533594,2,3,4,5,1,1,1,11,2,46,4.558386264473673,42,1
8,1,1,1,0,5.8012929966811555,4,2,4,5,0,0,0,7,2,48,5.388099937739482,16,1
9,1,1,1,0,5.8012929966811555,4,2,4,5,0,0,0,7,2,48,5.388099937739482,8,1
10,1,1,1,0,5.8012929966811555,4,2,4,5,0,0,0,7,2,48,5.388099937739482,22,1
11,1,1,1,0,5.8012929966811555,4,2,4,5,0,0,0,7,2,48,5.388099937739482,7,1
12,1,1,1,0,5.8012929966811555,4,2,4,5,0,0,0,7,2,48,5.388099937739482,3,1
13,0,1,0,0,5.794715219608063,2,1,4,5,0,0,0,11,2,29,5.232799477213701,25,1
14,0,1,0,0,5.794715219608063,2,1,4,5,0,0,0,11,2,29,5.232799477213701,30,0
15,0,0,1,0,5.830814389082129,2,2,4,5,0,1,0,7,2,27,5.806600955912197,31,1
16,0,0,1,0,5.830814389082129,2,2,4,5,0,1,0,7,2,27,5.806600955912197,19,1
17,0,0,1,0,5.830814389082129,2,2,4,5,0,1,0,7,2,27,5.806600955912197,34,1
18,0,0,1,1,5.765550191886271,2,2,2,5,0,0,0,17,2,30,6.010465015436139,44,1
19,1,1,1,3,5.929203875533594,2,2,4,5,0,0,0,7,5,34,5.336289144863583,24,1
20,1,1,1,3,5.929203875533594,2,2,4,5,0,0,0,7,5,34,5.336289144863583,18,1
21,1,0,1,1,5.998508813879472,4,3,4,5,0,0,0,17,3,32,6.481165685398204,39,1
22,1,0,1,1,5.998508813879472,4,3,4,5,0,0,0,17,3,32,6.481165685398204,13,1
23,1,0,1,1,5.998508813879472,4,3,4,5,0,0,0,17,3,32,6.481165685398204,55,1
24,1,0,1,1,5.998508813879472,4,3,4,5,0,0,0,17,3,32,6.481165685398204,4,1
